country,state,lga,pop,urb_pop
Nigeria,Lagos,Epe,242379.83135199547,160702.26310795546
Nigeria,Edo,Esan Central,82985.84853768349,42347.38187646866
Nigeria,Edo,Esan North East,161911.77343922853,150108.17025583982
Nigeria,Edo,Esan South East,86945.35418897867,533.0010883808136
Nigeria,Edo,Esan West,195931.66362673044,162125.8520422578
Nigeria,Ondo,Ese Odo,53986.22351318598,0
Nigeria,Akwa Ibom,Esit Eket,42022.98367935419,27136.119857549667
Nigeria,Akwa Ibom,Essien Udim,202197.98196220398,191782.69687247276
Nigeria,Rivers,Etche,354720.4266716242,194603.02357947826
Nigeria,Delta,Ethiope East,146376.4168871045,0
Nigeria,Delta,Ethiope West,144259.49377059937,70961.29273658991
Nigeria,Lagos,Eti Osa,814781.495945394,813301.9382986426
Nigeria,Akwa Ibom,Etim Ekpo,114978.20700061321,99932.72707593441
Nigeria,Akwa Ibom,Etinan,90458.88755559921,80692.44003558159
Nigeria,Edo,Etsako Central,72174.66489005089,0
Nigeria,Edo,Etsako East,140137.15107941628,0
Nigeria,Edo,Etsako West,256464.6937868595,183596.08606994152
Nigeria,Cross River,Etung,43139.31120765209,0
Nigeria,Ogun,Ewekoro,201766.34659421444,158806.74391651154
Nigeria,Enugu,Ezeagu,270695.78774279356,139893.10502678156
Nigeria,Imo,Ezinihitte,219391.91287702322,218303.63040703535
Nigeria,Ebonyi,Ezza North,176073.12833845615,140128.29561293125
Nigeria,Ebonyi,Ezza South,172252.72960639,156381.67542696
Nigeria,Kano,Fagge,407147.870890677,406818.84695744514
Nigeria,Kebbi,Fakai,229423.80675971508,348.3516575098038
Nigeria,Katsina,Faskari,315145.88229447603,18773.60688638687
Nigeria,Yobe,Fika,251212.3720126152,0
Nigeria,Adamawa,Fufore,453985.42389398813,19521.897992134094
Nigeria,Gombe,Funakaye,351444.1113117337,91035.48085606098
Nigeria,Yobe,Fune,523943.84358763695,0
Nigeria,Katsina,Funtua,448892.67169880867,348427.1348685622
Nigeria,Kano,Gabasawa,352339.7886212468,156399.61334210634
Nigeria,Sokoto,Gada,515092.34346324205,0
Nigeria,Jigawa,Gagarawa,81807.9395712614,0
Nigeria,Bauchi,Gamawa,386957.4292101264,0
Nigeria,Bauchi,Ganjuwa,793301.3318469524,0
Nigeria,Adamawa,Ganye,278717.0636534095,93928.08070611954
Nigeria,Jigawa,Garki,246823.26002335548,16406.424009680748
Nigeria,Kano,Garko,211956.79364794493,60415.27562400699
Nigeria,Kano,Garum Mallam,182972.70270121098,80887.78533172607
Nigeria,Taraba,Gashaka,176595.92836004496,0
Nigeria,Taraba,Gassol,677586.9087439775,98515.528609097
Nigeria,Kano,Gaya,336985.22733718157,233665.9548919201
Nigeria,Niger,Gbako,314223.08521312475,4933.6332277059555
Nigeria,Benue,Gboko,1030824.1706055403,805153.9267348647
Nigeria,Yobe,Geidam,312518.68105369806,105306.82727277279
Nigeria,Kano,Gezawa,383905.2354103327,359166.5292714834
Nigeria,Bauchi,Giade,234626.33572411537,62594.915287196636
Nigeria,Adamawa,Girei,252198.16178649664,98404.01813673973
Nigeria,Kaduna,Giwa,469700.4910977483,50799.581331670284
Nigeria,Rivers,Gokana,90150.13080096245,85117.75914776325
Nigeria,Gombe,Gombe,513218.63151562214,512892.82169115543
Nigeria,Adamawa,Gombi,279538.69244104624,87981.78639686108
Nigeria,Sokoto,Goronyo,274718.21291399,0
Nigeria,Borno,Gubio,170081.19031238556,0
Nigeria,Sokoto,Gudu,127202.35407668352,0
Nigeria,Yobe,Gujba,254994.759706676,60989.16157877445
Nigeria,Yobe,Gulani,285515.99390500784,0
Nigeria,Benue,Guma,388679.55816686153,114506.20515084267
Nigeria,Jigawa,Gumel,112869.85751020908,81769.27739953995
Nigeria,Zamfara,Gummi,308989.9847009778,67138.32047307491
Nigeria,Niger,Gurara,227559.67006528378,46393.950183570385
Nigeria,Jigawa,Guri,135946.139829278,0
Nigeria,Zamfara,Gusau,830298.1029202938,573118.6681155562
Nigeria,Adamawa,Guyuk,142173.51331585646,0
Nigeria,Borno,Guzamala,108897.16115689278,0
Nigeria,Sokoto,Gwadabawa,441754.0719874501,47458.46794080734
Nigeria,Federal Capital Territory,Gwagwalada,519026.50628501177,380870.14611005783
Nigeria,Kano,Gwale,528802.7727419138,528802.7727419138
Nigeria,Kebbi,Gwandu,257272.32277345657,8028.826334059238
Nigeria,Jigawa,Gwaram,578762.2671009898,38525.013818740845
Nigeria,Kano,Gwarzo,412582.89470005035,375781.0850709677
Nigeria,Benue,Gwer East,451693.74982625246,80171.05179691315
Nigeria,Benue,Gwer West,212666.22923767567,75430.76515579224
Nigeria,Jigawa,Gwiwa,110857.08196276426,0
Nigeria,Borno,Gwoza,233511.3215827942,71153.56182301044
Nigeria,Jigawa,Hadejia,139677.42090976238,137843.8841212988
Nigeria,Borno,Hawul,324596.12600809336,0
Nigeria,Adamawa,Hong,314779.1975608468,34429.33440697193
Nigeria,Oyo,Ibadan North,224339.47925937176,224339.47925937176
Nigeria,Oyo,Ibadan Central (Ibadan North East),157350.62907928228,157350.62907928228
Nigeria,Oyo,Ibadan North West,108994.9915201664,108994.9915201664
Nigeria,Oyo,Ibadan South East,169018.91941034794,169018.91941034794
Nigeria,Oyo,Ibadan South West,201753.97694128752,201753.97694128752
Nigeria,Kogi,Ibaji,88468.07284736633,0
Nigeria,Oyo,Ibarapa Central,92163.73468315601,68662.88090413809
Nigeria,Oyo,Ibarapa East,100779.55174320936,0
Nigeria,Oyo,Ibarapa North,72200.78206133842,0
Nigeria,Lagos,Ibeju/Lekki,451374.9113730192,367008.05730831623
Nigeria,Akwa Ibom,Ibeno,47350.55824434757,37558.47016906738
Nigeria,Akwa Ibom,Ibesikpo Asutan,144124.93375837803,130816.92528015375
