"state","lga","itn_campaign_net_quantity","itn_campaign_bale_quantity","itn_routine_net_quantity","intervention","total_cost","target_value","target"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"itn_routine",195495832.06376,90534.1243755485,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"smc",259428364.062709,60561.4364535843,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"pmc",224224633.719701,42856.390236946,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"iptp",28446703.5840598,26785.2438980913,"Population"
"Rivers","Ogba/Egbema/Ndoni",295705.237577053,5914.10475154105,26048.8839465847,"cm_private",NA,535704.877961825,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"vacc",110954998.856042,4555.4297229278,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"cm_public",68077933.1461212,142357.178841494,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"itn_campaign",614031486.969084,142357.178841494,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"itn_routine",51950684.5518224,24058.3632242124,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"smc",68939992.0343139,16093.4790680309,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"pmc",59585020.7758956,11388.5743073195,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"iptp",7559372.02769979,7117.85894207469,"Population"
"Rivers","Ogu/Bolo",78580.138284876,1571.60276569752,6922.18007182216,"cm_private",NA,142357.178841494,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"vacc",327616587.241509,13450.8075763264,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"cm_public",201013567.24563,420337.736760201,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"itn_campaign",1813049455.12769,420337.736760201,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"itn_routine",153394674.897078,71037.0775124739,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"smc",203558966.676595,47519.1811407407,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"pmc",175936563.09835,33627.0189408161,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"iptp",22320541.5793583,21016.88683801,"Population"
"Rivers","Okrika",232023.405842747,4640.46811685494,20439.1062573389,"cm_private",NA,420337.736760201,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"vacc",147957684.774054,6074.63243571207,"Population"
