state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Borno,Kwaya Kusar,108415,20707,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Mafa,198077,37833,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Magumeri,268163,51219,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Maiduguri,1032479,197203,18.8,100,SMC,1,1,1,0,1,1,1,0,1,1,1
Borno,Marte,247422,47258,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Mobbar,222995,42592,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Monguno,209996,40109,18.8,60,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Ngala,452170,86365,18.8,76,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Nganzai,189424,36180,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Borno,Shani,193085,36879,18.8,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Akko,617309,120375,33.1,56,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Balanga,386903,75446,33.1,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Billiri,370786,72303,33.1,46,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Dukku,379893,74079,33.1,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Funakaye,434829,84792,33.1,26,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Gombe,488169,95193,33.1,100,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Kaltungo,293424,57218,33.1,27,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Kwami,354898,69205,33.1,3,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Nafada (Bajoga),256457,50009,33.1,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Shomgom,276147,53849,33.1,10,SMC,1,1,1,0,1,1,1,0,1,0,1
Gombe,Yamaltu/Deba,467829,91227,33.1,4,SMC,1,1,1,0,1,1,1,0,1,0,1
Taraba,Ardo Kola,151394,28311,24.5,2,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Bali,363937,68056,24.5,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Donga,229556,42927,24.5,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Gashaka,150328,28111,24.5,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Gassol,422681,79041,24.5,15,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Ibi,145389,27188,24.5,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Jalingo,241996,45253,24.5,97,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Karin Lamido,334446,62541,24.5,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Kurmi,157427,29439,24.5,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Lau,164167,30699,24.5,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Sardauna,386931,72356,24.5,13,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Takum,232093,43401,24.5,25,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Ussa,156749,29312,24.5,0,PMC,1,1,0,1,1,1,1,1,1,0,1
Taraba,Wukari,410948,76847,24.5,41,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Yorro,154983,28982,24.5,53,SMC,1,1,1,0,1,1,1,1,1,0,1
Taraba,Zing,220208,41179,24.5,31,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Bade,270257,51079,62.6,69,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Bursari,212047,40077,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Damaturu,169546,32044,62.6,75,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Fika,264327,49958,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Fune,583712,110322,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Geidam,301064,56901,62.6,34,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Gujba,250913,47423,62.6,24,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Gulani,200109,37821,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Jakusko,449368,84931,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Karasuwa,203971,38550,62.6,8,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Machina,117909,22285,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Nangere,169181,31975,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Nguru,291319,55059,62.6,55,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Potiskum,396030,74850,62.6,88,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Tarmua,150139,28376,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Yobe,Yunusari,243457,46013,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
