"state","lga","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Nasarawa","Akwanga",198038.566865966,37825.3662713994,9901.92834329828,NA,1,11,"Naira",1416650837.79012,7153.40885469506
"Nasarawa","Akwanga",198038.566865966,37825.3662713994,9901.92834329828,NA,1,11,"USD",885406.773618825,4.47088053418441
"Nasarawa","Awe",200128.641640936,38224.5705534187,10006.4320820468,NA,1,10,"Naira",1427461093.04517,7132.71764271639
"Nasarawa","Awe",200128.641640936,38224.5705534187,10006.4320820468,NA,1,10,"USD",892163.183153228,4.45794852669773
"Nasarawa","Doma",245979.325188714,46982.0511110443,12298.9662594357,NA,1,10,"Naira",1748661790.48783,7108.97872878652
"Nasarawa","Doma",245979.325188714,46982.0511110443,12298.9662594357,NA,1,10,"USD",1092913.6190549,4.4431117054916
"Nasarawa","Karu",382673.047071793,73090.5519907124,19133.6523535896,NA,1,11,"Naira",2743979340.57778,7170.55816074494
"Nasarawa","Karu",382673.047071793,73090.5519907124,19133.6523535896,NA,1,11,"USD",1714987.08786111,4.48159885046558
"Nasarawa","Keana",144767.321479534,27650.5584025911,7238.36607397672,NA,1,10,"Naira",1042755136.20984,7202.9731955582
"Nasarawa","Keana",144767.321479534,27650.5584025911,7238.36607397672,NA,1,10,"USD",651721.960131151,4.50185824722388
"Nasarawa","Keffi",163790.364456803,31283.9596112493,8189.51822284013,NA,1,10,"Naira",1170277605.0196,7144.97222654536
"Nasarawa","Keffi",163790.364456803,31283.9596112493,8189.51822284013,NA,1,10,"USD",731423.503137251,4.46560764159086
"Nasarawa","Kokona",192120.522795263,36695.0198538952,9606.02613976314,NA,1,11,"Naira",1383574436.03034,7201.59624750123
"Nasarawa","Kokona",192120.522795263,36695.0198538952,9606.02613976314,NA,1,11,"USD",864734.022518965,4.50099765468828
"Nasarawa","Lafia",583879.466475605,111520.97809684,29193.9733237802,NA,1,13,"Naira",4128749511.55247,7071.23601464237
"Nasarawa","Lafia",583879.466475605,111520.97809684,29193.9733237802,NA,1,13,"USD",2580468.44472029,4.41952250915147
"Nasarawa","Nasarawa",262639.751887756,50164.1926105613,13131.9875943878,NA,1,15,"Naira",1896749550.75747,7221.86773755437
"Nasarawa","Nasarawa",262639.751887756,50164.1926105613,13131.9875943878,NA,1,15,"USD",1185468.46922342,4.51366733597149
"Nasarawa","Nasarawa Eggon",331332.598958429,63284.5264010599,16566.6299479214,NA,1,14,"Naira",2376277198.15229,7171.87866700201
"Nasarawa","Nasarawa Eggon",331332.598958429,63284.5264010599,16566.6299479214,NA,1,14,"USD",1485173.24884518,4.48242416687625
"Nasarawa","Obi",263652.048899849,50357.5413398712,13182.6024449925,NA,1,10,"Naira",1881303446.64248,7135.55405502315
"Nasarawa","Obi",263652.048899849,50357.5413398712,13182.6024449925,NA,1,10,"USD",1175814.65415155,4.45972128438947
"Nasarawa","Toto",210690.509767118,40241.8873655196,10534.5254883559,NA,1,12,"Naira",1519142542.20102,7210.30360541711
"Nasarawa","Toto",210690.509767118,40241.8873655196,10534.5254883559,NA,1,12,"USD",949464.08887564,4.50643975338571
"Nasarawa","Wamba",128637.819786835,24569.8235792855,6431.89098934176,NA,1,10,"Naira",943808133.375331,7336.94130497011
